,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Kahit Ayaw Mo Na","This Band",2155007,https://open.spotify.com/track/5V2AX2WTOHl2FKtftvisV6
2,"Kung 'Di Rin Lang Ikaw","December Avenue",1831482,https://open.spotify.com/track/2BgD4nRyx9EZ5o8YEnjRSV
3,Buwan,"juan karlos",1809297,https://open.spotify.com/track/5f9808hpiCpuNyqqdXmpF2
4,Sana,"I Belong to the Zoo",1606581,https://open.spotify.com/track/1X4l4i472kW5ofFP8Xo0x0
5,"Pauwi Nako",PDL,1567770,https://open.spotify.com/track/2tzAN1L07SNwnOdgOEeuQr
6,"Sa Ngalan Ng Pag-Ibig","December Avenue",1450417,https://open.spotify.com/track/00mBzIWv5gHOYxwuEJXjOG
7,"Maybe The Night",Ben&Ben,1323419,https://open.spotify.com/track/1yDiru08Q6omDOGkZMPnei
8,"Kathang Isip",Ben&Ben,1224418,https://open.spotify.com/track/3WUEs51GpcvlgU7lehLgLh
9,"Hindi Na Nga","This Band",1221799,https://open.spotify.com/track/50hVyhZM4nvizfrQe38F3l
10,"7 rings","Ariana Grande",1198573,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
11,"thank u, next","Ariana Grande",1155498,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
12,"Love Someone","Lukas Graham",1155293,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r
13,"Malibu Nights",LANY,1147026,https://open.spotify.com/track/0Eqg0CQ7bK3RQIMPw1A7pl
14,"Best Part (feat. Daniel Caesar)",H.E.R.,1129963,https://open.spotify.com/track/4OBZT9EnhYIV17t4pGw7ig
15,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1101268,https://open.spotify.com/track/7dbka99KTWke5o9hRp0JoB
16,"Ikaw At Ako","Moira Dela Torre",1076100,https://open.spotify.com/track/0gDRtumoR9ZrvAlnniToMz
17,Bulong,"December Avenue",1047641,https://open.spotify.com/track/5nMKJJ5Rl6X1yn58aVeICO
18,"214 - From ""Alone/Together""","JM De Guzman",1005705,https://open.spotify.com/track/0Fh6hgq979963fIxr2VBF2
19,"Without Me",Halsey,953088,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
20,"Dancing With A Stranger (with Normani)","Sam Smith",937179,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
21,"Kahit Di Mo Alam","December Avenue",936774,https://open.spotify.com/track/6GIzDc4xBUeYHwubWwTrhC
22,"break up with your girlfriend, i'm bored","Ariana Grande",902618,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS
23,"Balang Araw","I Belong to the Zoo",899690,https://open.spotify.com/track/5NXdUJ3Z2jhlp2u1cj6f7m
24,Happier,Marshmello,879757,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
25,2002,Anne-Marie,865878,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
26,Talk,Khalid,810512,https://open.spotify.com/track/0rTV5WefWd1J3OwIheTzxM
27,"i'm so tired...",Lauv,808901,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI
28,"Girls Like You (feat. Cardi B)","Maroon 5",806894,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
29,"Thru These Tears",LANY,770499,https://open.spotify.com/track/7GbAp0HKPQW7WnFJAzMoRk
30,Tagpuan,"Moira Dela Torre",770441,https://open.spotify.com/track/0ztDBQdQmdVZvorSmIjMih
31,Undecided,"Chris Brown",769249,https://open.spotify.com/track/7uiBocndm12aKbsdnQ3Scx
32,"'Di Na Muli","Janine Teñoso",726453,https://open.spotify.com/track/3VQb0rq27GPX92X53Ni1Lc
33,"Beautiful (feat. Camila Cabello)",Bazzi,708716,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
34,Weak,"Khel Pangilinan",646113,https://open.spotify.com/track/06cUybZMETs4i3yQO1f7p3
35,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",631719,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
36,"Who Do You Love","The Chainsmokers",618278,https://open.spotify.com/track/11cDEev79fPKi6uJCjUhu8
37,"Please Me","Cardi B",608347,https://open.spotify.com/track/0PG9fbaaHFHfre2gUVo7AN
38,"Eastside (with Halsey & Khalid)","benny blanco",597664,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
39,"Sweet but Psycho","Ava Max",588612,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
40,Dalaga,ALLMO$T,578932,https://open.spotify.com/track/6fWTVk29yvFEqE5VY6Gslk
41,"달라달라 (DALLA DALLA)",ITZY,576258,https://open.spotify.com/track/0GU5GuJQQEnnREO2FxnVPT
42,SOLO,JENNIE,565221,https://open.spotify.com/track/2wVDWtLKXunswWecARNILj
43,"Missin You Crazy",Russ,558712,https://open.spotify.com/track/4ve2uzqdwnHr20G5YgMMqr
44,"You Are The Reason","Calum Scott",552606,https://open.spotify.com/track/69vToJ9BMbbLlFZo7k7A7B
45,Mundo,"IV Of Spades",546609,https://open.spotify.com/track/4u8RkgV6P4TLi89SmlUtv8
46,"This Feeling","The Chainsmokers",513560,https://open.spotify.com/track/4NBTZtAt1F13VvlSKe6KTl
47,"Kapit - From ""Alone / Together""","Armi Millare",510008,https://open.spotify.com/track/02GtNoUv85fOPEaCTlpYzr
48,"Close To Me (with Diplo) (feat. Swae Lee)","Ellie Goulding",508816,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA
49,"'Di Na Babalik","This Band",508644,https://open.spotify.com/track/5S4T2Pdr8qhetF3UhkwuMj
50,"Naaalala Ka / Maging Sino Ka Man (Spotify Jams: OPM Love Songs - Recorded at Kodama Studios, Philippines)","Moira Dela Torre",504106,https://open.spotify.com/track/3efCao3RLbsz52LQ66o8Ac
51,"8 Letters","Why Don't We",468436,https://open.spotify.com/track/4zRZAmBQP8vhNPf9i9opXt
52,Ex,Callalily,464036,https://open.spotify.com/track/0GHwNr0lqf8jpc9wesmnHo
53,"I Like Me Better",Lauv,449414,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
54,"Kiss and Make Up","Dua Lipa",448477,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3
55,Shallow,"Lady Gaga",424355,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
56,"I Don't Wanna Love You Anymore",LANY,419006,https://open.spotify.com/track/7ArrTJ1LwcGAlEO65LUQ7i
57,"Pasensya Ka Na","Silent Sanctuary",392847,https://open.spotify.com/track/0YyM8aEdbjGfLWPn6fdcn7
58,"Say You Won't Let Go","James Arthur",381804,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
59,"Thick And Thin",LANY,381318,https://open.spotify.com/track/3D110t9ctcoOoylXsc3iR8
60,Tadhana,"Up Dharma Down",375488,https://open.spotify.com/track/6NFKf8vBApSvtzkapYmnVR
61,"Kung Wala Ka",Hale,367627,https://open.spotify.com/track/4JSDhJVmo2UqdF7nxbyenn
