,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Señorita,"Shawn Mendes",2559126,https://open.spotify.com/track/0TK2YIli7K1leLovkQiNik
2,"I Don't Care (with Justin Bieber)","Ed Sheeran",1760450,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
3,"Beautiful People (feat. Khalid)","Ed Sheeran",1583377,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
4,comethru,"Jeremy Zucker",1373476,https://open.spotify.com/track/18uwL0vNUanqZH0ro2QcOP
5,"Sa Susunod Na Lang",PDL,1190281,https://open.spotify.com/track/34ob61cxp34Sf7KHK6RnSU
6,Sana,"I Belong to the Zoo",1120346,https://open.spotify.com/track/1X4l4i472kW5ofFP8Xo0x0
7,"Goodbyes (Feat. Young Thug)","Post Malone",1118585,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
8,"A Whole New World (End Title) - From ""Aladdin""",ZAYN,1099274,https://open.spotify.com/track/1iWHabUgUuuKLBa0TzTHfk
9,"Hindi Na Nga","This Band",1066539,https://open.spotify.com/track/2RgD3eO4IIGF16rR8Ch8OV
10,"Bagay Tayo",ALLMO$T,986203,https://open.spotify.com/track/2mwd0LWLBgtQBEOLG96nbU
11,"'Di Na Babalik","This Band",969506,https://open.spotify.com/track/7hoP5NDUXEbmOawvEAsi8h
12,"Nobody Knows",Russ,944127,https://open.spotify.com/track/1pNAf6W7POwjOD8x8mWf8G
13,"Never Really Over","Katy Perry",930608,https://open.spotify.com/track/5PYQUBXc7NYeI1obMKSJK0
14,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",902983,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
15,Dahan,"December Avenue",892044,https://open.spotify.com/track/6BxJLJw228OY5BFerPGl7z
16,"Old Town Road - Remix","Lil Nas X",874497,https://open.spotify.com/track/6u7jPi22kF8CTQ3rb9DHE7
17,"Best Part of Me (feat. YEBBA)","Ed Sheeran",872679,https://open.spotify.com/track/0VsGaRXR5WAzpu51unJTis
18,"Huling Sandali (Tayo Sa Huling Buwan Ng Taon Official Soundtrack)","December Avenue",865036,https://open.spotify.com/track/24ngpWhBOxKJtIPnzSNX8c
19,"Kung 'Di Rin Lang Ikaw","December Avenue",854473,https://open.spotify.com/track/2BgD4nRyx9EZ5o8YEnjRSV
20,"Maybe The Night",Ben&Ben,842136,https://open.spotify.com/track/1yDiru08Q6omDOGkZMPnei
21,"If I Can't Have You","Shawn Mendes",813590,https://open.spotify.com/track/6LsAAHotRLMOHfCsSfYCsz
22,"Kahit Ayaw Mo Na","This Band",796018,https://open.spotify.com/track/58grXgbCj7t5ulr0TGLIr9
23,"You Need To Calm Down","Taylor Swift",785414,https://open.spotify.com/track/29fRTIKsJhLUJoldM89GZS
24,"Patawad, Paalam","Moira Dela Torre",767184,https://open.spotify.com/track/14BG5B1EJSCyNpZt096xXc
25,Wrong,"Luh Kel",755635,https://open.spotify.com/track/3EludUFeAoJAwSixWGG5Wg
26,Talk,Khalid,755187,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq
27,"ME! (feat. Brendon Urie of Panic! At The Disco)","Taylor Swift",748990,https://open.spotify.com/track/4MsUsFfWseB9M2plGJyuIw
28,Bulong,"December Avenue",745254,https://open.spotify.com/track/5nMKJJ5Rl6X1yn58aVeICO
29,"Call You Mine (with Bebe Rexha)","The Chainsmokers",737221,https://open.spotify.com/track/05CwHjIk71RXVU40boRMnR
30,"Kathang Isip",Ben&Ben,699555,https://open.spotify.com/track/3WUEs51GpcvlgU7lehLgLh
31,"Pauwi Nako",PDL,663039,https://open.spotify.com/track/2tzAN1L07SNwnOdgOEeuQr
32,"Malibu Nights",LANY,661732,https://open.spotify.com/track/0Eqg0CQ7bK3RQIMPw1A7pl
33,"Kill This Love",BLACKPINK,660230,https://open.spotify.com/track/4pUCKHjJ4Ijewc37rRrvHn
34,Pagtingin,Ben&Ben,657201,https://open.spotify.com/track/5l9g7py8RCblcvbZgGQgSd
35,"Best Part (feat. Daniel Caesar)",H.E.R.,651625,https://open.spotify.com/track/4OBZT9EnhYIV17t4pGw7ig
36,Sanctuary,Joji,638485,https://open.spotify.com/track/3xaugmCyXrVkrDTXbFkMW3
37,"Missin You Crazy",Russ,637814,https://open.spotify.com/track/4ve2uzqdwnHr20G5YgMMqr
38,"Love Someone","Lukas Graham",616131,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r
39,"bad guy (with Justin Bieber)","Billie Eilish",607590,https://open.spotify.com/track/3yNZ5r3LKfdmjoS3gkhUCT
40,"Balang Araw","I Belong to the Zoo",600737,https://open.spotify.com/track/5NXdUJ3Z2jhlp2u1cj6f7m
41,"Filipina Girl","Billy Crawford",598229,https://open.spotify.com/track/7iNMzfw2couNdTNXMYG2IR
42,"i'm so tired...",Lauv,587585,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI
43,"Boy With Luv (feat. Halsey)",BTS,576174,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
44,"Without Me",Halsey,552489,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
45,"Dancing With A Stranger (with Normani)","Sam Smith",551896,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
46,Nobela,"Join The Club",551273,https://open.spotify.com/track/3vGkyQlCw8LklNip0ZUELC
47,"Sa Ngalan Ng Pag-Ibig","December Avenue",524707,https://open.spotify.com/track/00mBzIWv5gHOYxwuEJXjOG
48,Paradise,Bazzi,509493,https://open.spotify.com/track/7njKgVl3AnLflRad38o7AG
49,"Sad Forever",Lauv,493882,https://open.spotify.com/track/4a5zacCsHLtMC2mcxkqWwn
